,Time,Instruction,Output Channel,Page,Channel No
0,2,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
1,4,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
2,6,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
3,8,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
4,10,synci,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
5,12,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
6,14,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
7,16,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
8,18,seti,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
9,20,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
10,22,seti,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
11,24,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
12,26,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
13,28,regwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
14,30,set,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,-1
15,32,synci,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
16,34,mathi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
17,36,memwi,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
18,38,loopnz,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
19,40,end,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,-1
20,200,set,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",3,7
21,400,seti,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,0
22,410,seti,"[[0], [], [], [], [], [], [], [43691, 0, 0, 5000, 150]]",0,0
